Rank,Company,Year,Country,Region,Industry,R&D (€ million),R&D one-year growth (%),Net sales (€ million),Net sales one-year growth (%),R&D intensity (%),Capex (€ million),Capex one-year growth (%),Capex intensity (%),Op. profits (€ million),Op. profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€ million),Market cap one-year growth (%)
131,RIVIAN AUTOMOTIVE,2022,US,US,Automobiles & Parts,1733.546591,-0.1,1554.472822,2914.5,111.5,1283.518271,-23.7,82.6,-6427.904504,62.5,-413.5,14122,35.5,27857.36032,-67.9
132,CHINA PETROLEUM & CHEMICAL,2022,China,China,Oil & Gas Producers,1714.205712,11.3,445316.0996,21.1,0.4,20633.27668,20.1,4.6,10128.88497,-39.6,2.3,374791,-2.8,54760.05929,0.2
133,ATLASSIAN,2022,US,US,Software & Computer Services,1712.31838,30.7,3313.940106,26.1,51.7,24.050263,-63.7,0.7,-232.822151,-454.3,-7.0,10726,21.7,33643.26504,-28.8
134,CATERPILLAR,2022,US,US,Automobiles & Parts,1700.732026,7.6,55716.31869,16.6,3.1,2436.715841,5.1,4.4,8214.891958,17.0,14.7,109100,1.3,91421.47311,-15.5
135,ACTIVISION BLIZZARD,2022,US,US,Software & Computer Services,1698.856908,35.5,7057.944152,-14.5,24.1,85.317869,13.8,1.2,1562.910853,-50.0,22.1,13000,32.7,57569.16286,-4.1
136,MIDEA GROUP,2022,China,China,Household Goods & Home Construction,1693.471781,5.0,42261.1349,2.7,4.0,986.693613,7.7,2.3,4352.288988,18.7,10.3,166243,0.3,48939.24389,-19.0
137,MARVELL,2022,US,US,Technology Hardware & Equipment,1672.886523,27.1,5549.974256,32.7,30.1,193.324665,21.8,3.5,440.090194,-376.3,7.9,7448,10.7,37426.16621,-20.8
138,CRRC CHINA,2022,China,China,Automobiles & Parts,1661.238594,0.5,29227.37931,-0.7,5.7,995.463132,25.6,3.4,1750.63671,10.0,6.0,157237,-2.1,16357.26059,-25.8
139,SERVICENOW,2022,US,US,Software & Computer Services,1657.604312,26.6,6792.614955,22.9,24.4,515.65745,40.3,7.6,332.833445,38.1,4.9,20433,21.0,82311.34138,-31.1
140,LLOYDS BANKING,2022,UK,RoW,Banks,1642.859328,42.8,20602.49691,11.5,8.0,4361.723629,19.4,21.2,7838.656629,0.4,38.0,63372,-2.6,33860.68952,-3.7
141,DANAHER,2022,US,US,Electronic & Electrical Equipment,1636.040455,0.2,29505.91929,6.9,5.5,1080.067968,-11.0,3.7,8145.512592,16.4,27.6,81000,1.3,184084.8141,-15.2
142,GREAT WALL MOTOR,2022,China,China,Automobiles & Parts,1634.716473,34.7,17393.32898,0.3,9.4,2187.658513,24.5,12.6,675.587488,0.4,3.9,87367,12.1,4266.764076,-68.0
143,LAM RESEARCH,2022,US,US,Technology Hardware & Equipment,1606.190451,6.8,16340.26203,1.2,9.8,470.249592,-8.1,2.9,4964.539915,-1.6,30.4,17200,-2.8,56242.59353,-30.1
144,ANALOG DEVICES,2022,US,US,Technology Hardware & Equipment,1594.335955,31.2,11263.78976,64.2,14.2,655.642509,103.5,5.8,3487.821673,94.8,31.0,24450,-1.0,73071.63419,29.9
145,LOCKHEED MARTIN,2022,US,US,Aerospace & Defence,1593.8503,13.3,61863.89306,-1.6,2.6,1565.72353,9.7,2.5,7813.616706,-8.0,12.6,116000,1.8,104437.5978,11.8
146,AISIN,2022,Japan,Japan,Automobiles & Parts,1581.969133,10.5,31118.78122,12.4,5.1,1500.603289,-2.5,4.8,430.450193,-66.5,1.4,116649,-0.5,8493.869131,-1.2
147,SYNOPSYS,2022,US,US,Software & Computer Services,1577.791789,11.7,4764.245435,20.9,33.1,128.060246,45.7,2.7,1100.783334,52.8,23.1,19000,16.1,49606.60444,4.4
148,TEXAS INSTRUMENTS,2022,US,US,Technology Hardware & Equipment,1565.72353,7.5,18777.43165,9.2,8.3,2622.352523,13.6,14.0,9747.800923,14.7,51.9,33000,6.5,141527.9062,-14.4
149,SYNGENTA,2022,Switzerland,RoW,Chemicals,1543.222114,7.9,18716.49032,19.3,8.2,660.979095,26.9,3.5,2560.473629,29.9,13.7,,,,
150,STMICROELECTRONICS,2022,Netherlands,EU,Technology Hardware & Equipment,1522.595816,3.8,15078.7614,26.3,10.1,3307.708152,92.8,21.9,4257.455419,85.4,28.2,51370,6.5,31637.39945,-7.9
151,UCB,2022,Belgium,EU,Pharmaceuticals & Biotechnology,1513,-0.4,5140,-6.1,29.4,252,-10.6,4.9,618,-52.1,12.0,8703,1.7,13634.84633,-27.6
152,MITSUBISHI ELECTRIC,2022,Japan,Japan,Electronic & Electrical Equipment,1501.126315,8.8,35365.68672,11.8,4.2,1068.082196,12.5,3.0,1854.281784,4.1,5.2,149655,2.7,21527.4954,-5.8
153,BEIGENE,2022,China,China,Pharmaceuticals & Biotechnology,1494.174652,13.4,1327.509476,20.4,112.6,305.113575,23.8,23.0,-1677.916527,24.4,-126.4,9200,12.2,16652.40597,-37.9
154,HP,2022,US,US,Technology Hardware & Equipment,1493.531487,-16.5,59050.2785,-0.8,2.5,741.609169,35.9,1.3,4922.18475,-6.5,8.3,58000,13.7,27077.17538,-15.7
155,INCYTE,2022,US,US,Pharmaceuticals & Biotechnology,1486.90857,8.8,3182.670595,13.7,46.7,72.973029,-57.0,2.3,562.124749,-6.0,17.7,2324,11.0,14687.60212,-7.3
156,RENESAS,2022,Japan,Japan,Electronic & Electrical Equipment,1461.037098,32.2,10607.90228,50.9,13.8,467.436596,79.0,4.4,2892.127438,124.6,27.3,21017,0.3,18283.05136,12.6
157,SUZUKI MOTOR,2022,Japan,Japan,Automobiles & Parts,1453.460293,27.9,32806.74789,30.1,4.4,1825.501232,35.6,5.6,2459.620481,89.4,7.5,70012,1.2,16936.87619,2.6
158,VALEO,2022,France,EU,Automobiles & Parts,1431,-8.0,20037,16.1,7.1,807,7.7,4.0,663,63.3,3.3,109900,6.4,4642.88116,-20.0
159,BOE TECHNOLOGY GROUP,2022,China,China,Electronic & Electrical Equipment,1422.709875,1.3,23195.80057,-19.3,6.1,3945.403547,-17.6,17.0,420.21754,-92.2,1.8,88343,11.2,442.877657,4.2
160,NIO,2022,China,China,Automobiles & Parts,1409.581439,139.9,6612.107469,36.3,21.3,935.794735,71.0,14.2,-2099.061066,247.9,-31.7,26763,76.0,29437.46076,
161,AIRBNB,2022,US,US,Travel & Leisure,1408.213618,5.4,7874.558041,40.2,17.9,23.438975,-1.3,0.3,1770.580171,245.8,22.5,6811,11.1,42334.32492,-13.4
162,CHINA TELECOM,2022,China,China,Technology Hardware & Equipment,1400.567667,53.2,64612.92663,9.5,2.2,12038.89638,5.7,18.6,4486.084267,8.0,6.9,280683,0.6,4465.828354,-1.5
163,PDD,2022,China,China,General Retailers,1393.685077,15.6,17521.53487,39.0,8.0,85.316526,-80.7,0.5,4080.102297,340.8,23.3,12992,33.1,84521.60207,-28.1
164,SHOPIFY,2022,Canada,RoW,Software & Computer Services,1392.700766,78.1,5250.202891,21.4,26.5,46.894826,-1.5,0.9,-770.953828,-406.1,-14.7,11600,16.0,33833.28972,-77.5
165,HONEYWELL,2022,US,US,General Industrials,1385.712202,10.9,33251.46749,3.1,4.2,718.170194,-14.4,2.2,6611.666068,-5.9,19.9,97000,-2.0,119598.4428,-20.3
166,THERMO FISHER SCIENTIFIC,2022,US,US,Health Care Equipment & Services,1379.149289,4.6,42110.46249,14.5,3.3,2102.944837,-11.1,5.0,7975.814413,-18.0,18.9,130000,0.0,200309.8175,-2.1
167,CHINA ENERGY ENGINEERING,2022,China,China,Construction & Materials,1377.076083,19.0,48606.54803,13.9,2.8,2681.788341,42.3,5.5,2429.195506,-1.1,5.0,114786,-0.5,1034.348703,-15.5
168,HAIER SMART HOME,2022,China,China,Household Goods & Home Construction,1374.297661,14.2,32677.00445,7.2,4.2,1101.02119,11.3,3.4,2102.32776,11.5,6.4,109586,4.5,21902.62788,-4.4
169,BIONTECH,2022,Germany,EU,Pharmaceuticals & Biotechnology,1371.7,68.6,17310.6,-8.8,7.9,329.2,158.2,1.9,12300.8,-17.5,71.1,4692,49.5,32910.21126,-56.0
170,EBAY,2022,US,US,General Retailers,1368.83614,0.6,9183.390405,-6.0,14.9,420.963991,1.1,4.6,2514.533238,-20.1,27.4,11600,7.4,22729.80832,-51.4
171,SUMITOMO CHEMICAL,2022,Japan,Japan,Chemicals,1356.460219,11.0,20463.61579,4.7,6.6,1014.818385,33.6,5.0,-207.853261,-117.1,-1.0,33572,-3.3,6436.914073,-1.4
172,SHANGHAI CONSTRUCTION,2022,China,China,Construction & Materials,1354.42037,3.0,38085.98189,2.0,3.6,291.666472,-39.3,0.8,860.95898,-12.0,2.3,51353,0.0,3238.499887,-2.2
173,TOKYO ELECTRON,2022,Japan,Japan,Technology Hardware & Equipment,1351.357184,20.8,15613.20219,10.2,8.7,472.822347,19.1,3.0,4362.925328,3.0,27.9,17204,10.0,49068.58521,-6.5
174,CHINA UNITED NETWORK COMMUNICATIONS,2022,China,China,Mobile Telecommunications,1350.502326,38.5,42670.80618,7.9,3.2,9725.487662,0.6,22.8,2274.422311,-2.8,5.3,244508,0.8,14751.39724,-14.7
175,SPOTIFY,2022,Luxembourg,EU,Software & Computer Services,1347,51.9,11727,21.3,11.5,25,-70.6,0.2,-659,-801.1,-5.6,8359,26.3,18175.10115,-53.8
176,PALO ALTO NETWORKS,2022,US,US,Software & Computer Services,1329.177394,24.3,5157.980838,29.3,25.8,180.761375,66.2,3.5,-177.011139,-37.9,-3.4,12561,19.9,52067.41398,23.7
177,LG CHEM,2022,South Korea,RoW,General Industrials,1305.604728,30.0,38370.07222,21.8,3.4,6342.899943,45.3,16.5,2216.242106,-40.4,5.8,,,33006.07234,-16.6
178,STRYKER,2022,US,US,Health Care Equipment & Services,1281.643153,10.7,17297.02599,7.8,7.4,551.284692,12.0,3.2,3319.896419,-6.0,19.2,51000,10.9,72751.96829,-25.7
179,DIDI,2022,China,China,Software & Computer Services,1279.718781,1.3,18895.00566,-19.0,6.8,342.732167,-61.4,1.8,-2392.139245,-63.2,-12.7,20870,-14.5,10647.25608,-68.3
180,SEA,2022,Singapore,RoW,Software & Computer Services,1276.469702,65.4,11672.33297,25.1,10.9,866.471401,19.7,7.4,-913.01183,-38.5,-7.8,63800,-5.2,29890.34694,-74.4
181,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,2022,China,China,Electronic & Electrical Equipment,1274.471301,19.4,10999.51681,2.1,11.6,504.032711,21.2,4.6,1908.504951,-23.6,17.4,58284,10.5,36782.66072,-34.5
182,SIEMENS ENERGY,2022,Germany,EU,Alternative Energy,1271,-5.4,28997,1.8,4.4,1157,17.2,4.0,-489,37.0,-1.7,91000,-1.1,10761.61561,-39.6
183,SEAGEN,2022,US,US,Pharmaceuticals & Biotechnology,1260.417754,9.4,1839.877032,24.6,68.5,72.510813,47.8,3.9,-574.69554,-10.1,-31.2,3256,21.7,26679.69012,-6.7
184,BOSTON SCIENTIFIC,2022,US,US,Health Care Equipment & Services,1240.390557,9.9,11890.12324,6.7,10.4,551.284692,6.1,4.6,1817.926901,11.3,15.3,45000,9.8,54027.79087,-10.4
185,UBISOFT ENTERTAINMENT,2022,France,EU,Software & Computer Services,1239,8.9,1814.3,-14.6,68.3,48.2,-28.1,2.7,-571.7,-329.9,-31.5,20133,-2.6,5775.195786,-13.5
186,ILLUMINA,2022,US,US,Pharmaceuticals & Biotechnology,1232.890085,11.0,4297.770456,1.3,28.7,268.141874,37.5,6.2,-3337.71004,2794.3,-77.7,11560,17.4,29699.66014,-52.8
187,TDK,2022,Japan,Japan,Electronic & Electrical Equipment,1213.631782,7.5,15413.83042,14.7,7.9,1948.687933,-5.4,12.6,1169.619871,-0.4,7.6,102908,-11.9,13505.4739,27.4
188,BECTON DICKINSON,2022,US,US,Health Care Equipment & Services,1207.575992,-3.8,17691.73833,-1.4,6.8,912.244907,-18.5,5.2,2404.838835,3.3,13.6,77000,2.7,67493.88764,-0.4
189,CUMMINS,2022,US,US,Automobiles & Parts,1198.200402,17.2,26321.03137,16.9,4.6,858.804044,24.8,3.3,2504.220089,21.4,9.5,73600,22.9,28469.46274,-10.4
190,CARL ZEISS,2022,Germany,EU,Health Care Equipment & Services,1194.102,21.7,1902.836,-74.7,62.8,841.993,11.4,44.2,396.879,-73.2,20.9,4224,-87.5,,
191,KLA,2022,US,US,Technology Hardware & Equipment,1189.225149,14.8,9840.671767,13.9,12.1,320.261716,11.2,3.3,3916.852422,9.3,39.8,15210,6.5,45751.87988,-6.0
192,CADENCE DESIGN SYSTEMS,2022,US,US,Software & Computer Services,1173.396341,10.3,3339.320766,19.2,35.1,115.521332,88.7,3.5,1006.695538,38.0,30.1,10200,9.7,44618.79946,5.2
193,AT&T,2022,US,US,Fixed Line Telecommunications,1158.822924,-18.8,113201.8112,-9.9,1.0,18400.53293,26.3,16.3,-4280.894394,-117.7,-3.8,160700,-20.8,117728.221,-35.9
194,CSL,2022,Australia,RoW,Pharmaceuticals & Biotechnology,1157.885365,6.8,1235.140226,-87.4,93.7,115.132245,-88.6,9.3,287.736857,-89.5,23.3,,,89816.77029,-0.4
195,FUJITSU,2022,Japan,Japan,Software & Computer Services,1154.961014,5.0,26248.59159,3.5,4.4,1188.102471,17.3,4.5,2393.238618,52.2,9.1,124055,-0.1,24235.77763,-18.4
196,DEUTSCHE BANK,2022,Germany,EU,Banks,1145,3.5,27361,6.9,4.2,337,-38.7,1.2,5595,65.0,20.4,84930,2.4,17210.01917,-20.6
197,AUTODESK,2022,US,US,Software & Computer Services,1142.884421,9.3,4692.482795,14.1,24.4,37.50236,-28.6,0.8,927.245851,60.1,19.8,13700,8.7,40828.26198,-36.1
198,CORTEVA,2022,US,US,Chemicals,1140.071744,2.4,16365.09235,11.5,7.0,567.223195,5.6,3.5,1807.613752,46.4,11.0,21000,0.0,41680.95848,37.7
199,L'OREAL,2022,France,EU,Personal Goods,1138.6,10.7,38260.6,18.5,3.0,1343.2,24.9,3.5,7637.4,33.2,20.0,87369,2.3,184232.1867,-16.6
200,GEELY AUTOMOBILE,2022,China,China,Automobiles & Parts,1126.007285,51.2,19857.65624,45.6,5.7,471.861527,24.1,2.4,242.905485,-41.7,1.2,49000,11.4,19200.9733,-42.1
201,NORTHROP GRUMMAN,2022,US,US,Electronic & Electrical Equipment,1125.0708,9.1,34316.53452,2.6,3.3,1345.397165,1.4,3.9,3376.149959,-1.9,9.8,95000,8.0,69332.91211,25.6
202,TRIP.COM GROUP,2022,China,China,Travel & Leisure,1119.407331,-7.2,2689.342227,0.1,41.6,66.700089,-12.8,2.5,0.939437,-100.5,0.0,32202,-4.5,16924.02923,-2.3
203,EISAICO,2022,Japan,Japan,Pharmaceuticals & Biotechnology,1117.140598,-0.1,5261.370484,-1.6,21.2,159.565261,-22.2,3.0,282.992271,-25.5,5.4,11076,-2.2,11941.49301,-37.3
204,TCL,2022,China,China,Electronic & Electrical Equipment,1117.103004,20.1,21681.8559,0.8,5.2,5470.586575,32.1,25.2,330.767352,-87.3,1.5,69828,7.2,7472.679224,-39.5
205,TOSHIBA,2022,Japan,Japan,General Industrials,1105.273568,2.9,23759.90784,0.7,4.7,838.770744,25.2,3.5,1540.833865,37.2,6.5,106648,-8.2,15818.16335,2.9
206,SAUDI ARABIAN OIL,2022,Saudi Arabia,RoW,Oil & Gas Producers,1104.444502,14.0,566628.9076,50.9,0.2,35292.47093,18.0,6.2,286755.5453,47.1,50.6,70496,2.9,2062629.762,6.7
207,ABB,2022,Switzerland,RoW,Industrial Engineering,1091.318676,-4.4,27607.36231,1.7,4.0,714.419958,-7.1,2.6,2965.499117,-43.1,10.7,105100,0.7,53810.42659,-23.9
208,FUJIFILM,2022,Japan,Japan,Electronic & Electrical Equipment,1089.49798,2.4,20207.46039,13.2,5.4,1907.234608,114.1,9.4,1930.099315,18.9,9.6,73878,-2.1,25865.06212,-21.6
209,DASSAULT SYSTEMES,2022,France,EU,Software & Computer Services,1087.2,14.5,5665.3,16.6,19.2,116.5,37.9,2.1,1302.9,27.8,23.0,22523,9.9,51473.15523,-19.9
210,THALES,2022,France,EU,Aerospace & Defence,1083.1,4.1,19341.2,8.3,5.6,668.3,28.9,3.5,1514.6,4.5,7.8,76776,-5.3,25641.3691,39.8
211,TWILIO,2022,US,US,Software & Computer Services,1071.443362,34.3,3587.40169,34.6,29.9,32.271718,-25.2,0.9,-1058.196591,27.6,-29.5,8156,3.7,11305.80076,-79.8
212,MITSUBISHI CHEMICAL,2022,Japan,Japan,Chemicals,1056.420136,-4.5,32756.48087,16.5,3.2,1830.773897,5.8,5.6,1537.490741,-29.0,4.7,68639,-1.6,7803.750478,-24.1
213,ACCENTURE,2022,Ireland,EU,Support Services,1053.156274,0.4,57748.295,21.9,1.8,673.165486,23.8,1.2,8782.284851,22.9,15.2,721000,15.5,179628.5681,-14.6
214,APTIV,2022,UK,RoW,Automobiles & Parts,1050.06608,8.7,16396.96935,12.0,6.4,791.299796,38.1,4.8,1184.137017,6.2,7.2,160000,3.2,23732.5026,-38.5
215,ROLLS-ROYCE,2022,UK,RoW,Aerospace & Defence,1049.981719,14.1,15608.29506,19.1,6.7,406.189048,9.5,2.6,1149.548951,93.5,7.4,41800,-5.0,7289.961438,-33.0
216,MERCADOLIBRE,2022,US,US,General Retailers,1049.128521,60.9,9879.059183,49.1,10.6,425.651786,-20.8,4.3,969.436006,134.6,9.8,40548,35.4,40368.80241,-53.6
217,MICROCHIP TECHNOLOGY,2022,US,US,Technology Hardware & Equipment,1048.472229,13.1,7911.779133,23.7,13.3,455.841185,31.4,5.8,2917.683608,65.6,36.9,22600,7.6,33798.62086,-16.4
218,3M,2022,US,US,General Industrials,1023.814428,-10.9,32091.70701,-3.2,3.2,1639.790691,9.1,5.1,3632.103566,-48.3,11.3,92000,-3.2,66407.53609,-37.1
219,HYUNDAI MOBIS,2022,South Korea,RoW,Automobiles & Parts,1014.169103,17.4,38400.70398,24.5,2.6,903.165314,27.9,2.4,1499.24436,-0.7,3.9,,,15042.68044,-22.7
220,LUXSHARE PRECISION INDUSTRY,2022,China,China,Electronic & Electrical Equipment,1012.857709,23.9,28380.0858,39.1,3.6,1823.065089,8.1,6.4,1561.854656,38.9,5.5,236932,3.8,35623.67167,11.6
221,SHELL,2022,UK,RoW,Oil & Gas Producers,1007.875925,31.9,357504.3725,45.8,0.3,21188.8334,18.9,5.9,62892.39528,151.0,17.6,93000,13.4,188220.3176,
222,INTESA SANPAOLO,2022,Italy,EU,Banks,990,17.4,22874,2.6,4.3,576,-25.7,2.5,6007,15.9,26.3,95574,-2.2,33478.68924,-28.1
223,AMADEUS,2022,Spain,EU,Software & Computer Services,988.4,29.2,4485.9,68.0,22.0,39.5,-10.2,0.9,962.7,-1259.9,21.5,17252,8.3,23705.26769,1.7
224,SANY HEAVY INDUSTRY,2022,China,China,Automobiles & Parts,986.120825,-1.1,10432.07432,-24.6,9.5,760.277141,-45.0,7.3,603.51529,-65.6,5.8,26374,11.3,17952.55776,-39.9
225,DONGFENG MOTOR,2022,China,China,Automobiles & Parts,977.954828,12.1,12435.87598,-18.1,7.9,559.368152,-9.7,4.5,-810.600681,237.6,-6.5,119420,-2.2,1711.105456,-41.4
226,GINKGO,2022,US,US,Pharmaceuticals & Biotechnology,976.695525,-8.2,447.877559,52.2,218.1,49.007146,-7.5,10.9,-2027.680413,18.3,-452.7,1292,101.6,2773.463735,72.0
227,JUNIPER NETWORKS,2022,US,US,Technology Hardware & Equipment,971.404879,2.9,4970.18777,11.9,19.5,98.53745,5.1,2.0,505.625568,25.3,10.2,10901,7.0,8596.066874,-2.7
228,WEICHAI POWER,2022,China,China,Automobiles & Parts,969.105043,10.0,23041.64606,-13.2,4.2,890.474507,10.4,3.9,544.982271,-69.0,2.4,46442,8.1,2454.461941,-46.4
229,YANDEX,2022,Netherlands,EU,Software & Computer Services,963.435628,57.5,6953.968858,70.1,13.9,,,,176.448603,-205.3,2.5,20850,15.8,,
230,GE HEALTHCARE,2022,US,US,Health Care Equipment & Services,961.935534,25.7,17195.76962,4.3,5.6,290.64329,28.1,1.7,2364.523798,-9.8,13.8,50000,-2.0,,
231,TELECOM ITALIA,2022,Italy,EU,Fixed Line Telecommunications,955,-10.9,15788,3.1,6.0,6305,136.6,39.9,806,36.6,5.1,50392,5.1,3157.870102,-46.3
232,SPLUNK,2022,US,US,Software & Computer Services,947.937778,-3.0,3425.566818,36.7,27.7,12.769553,27.6,0.4,-220.800769,-78.4,-6.4,8000,14.3,13733.25248,-41.5
233,LONGI GREEN ENERGY TECHNOLOGY,2022,China,China,Electronic & Electrical Equipment,944.044038,62.3,17224.16118,59.4,5.5,672.064327,2.1,3.9,1491.689249,2.7,8.7,,,52070.60764,-19.9
234,FERRARI,2022,Netherlands,EU,Automobiles & Parts,934.21,-0.3,5095.254,19.3,18.3,347.725,-1.3,6.8,1221.207,14.3,24.0,4919,6.7,33717.4577,-10.5
235,REALTEK SEMICONDUCTOR,2022,Taiwan,RoW,Technology Hardware & Equipment,918.432069,7.6,3413.101623,6.0,26.9,81.838538,6.8,2.4,489.0756,-8.5,14.3,,,5417.830194,-37.3
236,DELTA ELECTRONICS (TAIWAN),2022,Taiwan,RoW,Electronic & Electrical Equipment,912.138749,17.7,11737.60204,22.2,7.8,666.319102,-5.2,5.7,1350.211848,30.8,11.5,,,20857.65931,-2.8
237,CONSTELLATION SOFTWARE,2022,Canada,RoW,Software & Computer Services,909.43223,31.6,6208.515698,29.7,14.6,38.439919,41.4,0.6,818.489007,1.4,13.2,,,28876.01704,-7.5
238,UNILEVER,2022,UK,RoW,Food Producers,908,7.2,60073,14.5,1.5,1456,31.4,2.4,10598,22.8,17.6,126988,-14.2,113050.3188,-4.8
239,MAZDA MOTOR,2022,Japan,Japan,Automobiles & Parts,904.622513,-4.9,27047.16003,22.6,3.3,563.927779,-34.6,2.1,1001.629654,36.9,3.7,48481,-0.6,5497.076266,28.9
240,SUMITOMO ELECTRIC,2022,Japan,Japan,Electronic & Electrical Equipment,902.374916,3.7,28310.96695,18.9,3.2,1303.79718,6.0,4.6,1234.199416,50.9,4.4,289191,2.9,8992.436636,9.0
241,MITSUBISHI HEAVY INDUSTRIES,2022,Japan,Japan,General Industrials,900.791703,12.1,29705.01434,8.9,3.0,932.293402,2.0,3.1,1366.404777,76.1,4.6,76859,-1.5,12814.11914,84.7
