World rank,Company,Country,Region,Industry-ICB3 sector name,R&D 2021 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1,ALPHABET,US,US,Software & Computer Services,27866.84729,14.4670511,227473.8906,41.15007643,12.2505696,21755.24736,10.58749607,9.563843703,69498.47974,90.94216961,30.55228869,156500,15.66802906,769312.7315,77.95674013
2,META,US,US,Software & Computer Services,21768.49122,33.65316854,104122.3444,37.1825743,20.90664722,16393.24991,22.83824016,15.74421898,41279.34577,43.10244559,39.64504066,71970,22.80731691,798490.603,28.29126233
3,MICROSOFT,US,US,Software & Computer Services,21642.23309,18.32400077,175057.3415,17.95607063,12.36293943,21089.52266,15.82775676,12.04720835,73531.67657,19.13937885,42.00433752,221000,22.09944751,2002997.331,32.92036478
4,HUAWEI INVESTMENT & HOLDING,China,China,Technology Hardware & Equipment,19533.84805,0.662086106,121786.3021,-1.42091437,16.03944591,4738.800465,-20.86515761,3.891078375,29810.12127,196.662824,24.47740078,195000,-1.015228426,,
5,APPLE,US,US,Technology Hardware & Equipment,19348.39654,16.86220137,322988.6089,33.25938473,5.990426907,9787.21254,51.66233411,3.030203626,96193.68688,64.35704803,29.78237753,154000,4.761904762,2215940.7,12.18324913
6,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,16812.78524,6.476904069,208048.0259,18.07286658,8.081203928,37076.72218,23.73175501,17.82123239,38419.66179,43.45178052,18.46672739,,,340700.5654,42.03703704
7,VOLKSWAGEN,Germany,EU,Automobiles & Parts,15583,12.22902413,250200,12.25570252,6.228217426,10655,-5.482125432,4.258593125,18419,84.89259185,7.361710631,643297,-2.909557409,83746.48675,89.32621704
8,INTEL,US,US,Technology Hardware & Equipment,13411.61556,12.05370316,69772.18618,1.485866927,19.2220085,17948.962,40.65591919,25.72509617,19496.72777,-7.513821411,27.9434096,121100,9.493670886,193644.1504,1.214208333
9,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,13260.78908,12.7951946,60752.175,7.677931519,21.8276779,3572.519263,4.676870737,5.880479609,17562.70978,-2.092433802,28.90877534,100920,-0.53713103,249938.4325,16.48716686
10,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,12991.34374,21.01324122,82796.1981,13.55105105,15.69074913,3224.438448,9.112638183,3.894428152,22654.06399,20.26811662,27.361237,141700,5.353159851,402402.888,12.83980965
11,PFIZER,US,US,Pharmaceuticals & Biotechnology,10239.26963,20.58854113,71771.12611,95.16458188,14.26655841,2393.606964,20.38188277,3.335055605,24247.74181,214.221968,33.78481449,79000,0.636942675,228059.3847,23.00328793
12,BRISTOL-MYERS SQUIBB,US,US,Pharmaceuticals & Biotechnology,9283.062936,1.889717996,40954.42974,9.094971541,22.66681039,859.085052,29.21646746,2.097660882,8933.425032,107.761807,21.81308613,32200,6.446280992,131176.4721,5.56433688
13,MERCK US,US,US,Pharmaceuticals & Biotechnology,9133.84878,1.19338746,43001.9305,17.3081555,21.24055519,3927.245952,0.428990743,9.132720105,13501.67381,65.58743909,31.3978318,68000,-8.108108108,170509.0273,-10.45577471
14,MERCEDES-BENZ,Germany,EU,Automobiles & Parts,8973,6.302570785,167971,8.853663753,5.341993558,4579,-20.24037624,2.726065809,28593,303.5139712,17.02258128,172425,-40.23003248,76332.90021,67.46860519
15,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,8691.339655,3.103196546,242585.7617,15.30397313,3.582790513,26935.01095,-0.153001952,11.10329426,23158.84682,36.30752935,9.546663687,372817,1.783866573,241960.8526,36.91121354
16,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7982.515884,7.759237187,46686.37235,5.970179165,17.09817123,1216.669272,8.078431373,2.606047998,10320.49864,15.13987392,22.10601963,104323,-1.390438021,202357.7237,8.649410457
17,ALIBABA GROUP HOLDING,China,China,Software & Computer Services,7687.331982,-3.094206436,118232.5934,18.92863267,6.501872079,7388.51493,28.61037394,6.249135467,9651.67988,-22.3466179,8.163298798,254941,1.383509238,400766.9447,-41.55170898
18,TENCENT,China,China,Software & Computer Services,7190.458545,33.12121523,77631.17309,16.19162601,9.262334007,4061.195379,-13.99471677,5.231397669,32564.6831,59.0983268,41.94794668,112771,31.3459433,523059.9046,-8.864462394
19,ASTRAZENECA,UK,Row,Pharmaceuticals & Biotechnology,7110.186972,34.0379494,33036.36731,40.575572,21.5223027,963.270084,13.52757544,2.915786942,-202.189596,-105.5758461,-0.612021274,83100,9.198423127,156440.6432,20.51076111
20,GENERAL MOTORS,US,US,Automobiles & Parts,6975.0996,27.41935484,112134.8797,3.689431359,6.220276527,19522.33256,7.685189695,17.40968788,12293.83378,46.04573107,10.96343422,157000,1.290322581,62819.14342,67.79079265
21,BMW,Germany,EU,Automobiles & Parts,6870,9.412326804,111239,12.37397717,6.175891549,6619,7.62601626,5.950251261,13457,175.9278245,12.09737592,118909,-1.505061047,48382.35556,33.61596128
22,FORD MOTOR,US,US,Automobiles & Parts,6710.2224,7.042253521,120378.7411,7.233530485,5.57425866,5497.967748,8.446534309,4.567224826,3993.465252,-202.6088929,3.317417358,183000,-1.612903226,45142.64722,91.85637087
23,ORACLE,US,US,Software & Computer Services,6373.828356,10.60211429,37471.29456,4.844487265,17.00989632,3982.870164,111.2880562,10.62912347,13976.68692,0.304143961,37.29971725,143000,8.333333333,219716.4782,41.72274597
24,HONDA MOTOR,Japan,Japan,Automobiles & Parts,6372.69975,4.132922536,112502.6229,10.49447634,5.664489934,2072.934858,-15.78687854,1.842565804,6735.238966,31.96326006,5.986739501,204035,-3.472044812,46800.10374,22.46244046
25,QUALCOMM,US,US,Technology Hardware & Equipment,6335.862624,20.10041841,29636.22698,54.46136855,21.37877614,1666.960512,34.1862118,5.62473932,8613.806544,142.5658876,29.06512542,45000,9.756097561,146094.1876,23.1363881
26,ROBERT BOSCH,Germany,EU,Automobiles & Parts,6328,4.698874917,78748,10.14630598,8.035759638,,,,2815,69.88533494,3.57469396,402614,1.927594937,,
27,ELI LILLY,US,US,Pharmaceuticals & Biotechnology,6203.335731,15.44933205,25002.995,15.3978435,24.81037064,1156.453855,-5.627206541,4.625261314,5624.314172,2.591316119,22.49456184,35000,0,218706.1821,74.52658163
