World rank,Company,Country,Region,Industry,R&D 2019 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%),,,,,,,
464,EXPERIAN,UK,Row,Support Services,304.4,15.54054054,4610.1,6.541863814, 6.6 ,74.8,-7.692307692, 1.6 ,1054.8,2.0,22.9,17088.0,3.8,26795.8,30.6,,,,,,,
465,OFILM GROUP,China,China,Electronic & Electrical Equipment,303.7,6.026382249,6573.9,21.13591845, 4.6 ,246.1,-71.27357401, 3.7 ,249.7,-8.8,3.8,36434.0,-14.5,3059.2,-47.1,,,,,,,
466,SEKISUI CHEMICAL,Japan,Japan,Construction & Materials,303.0,-4.356557912,9212.0,-1.177811049, 3.3 ,429.8,-12.31483647, 4.7 ,679.7,-11.7,7.4,27003.0,2.0,6051.1,-22.0,,,,,,,
467,CHINA UNITED NETWORK COMMUNICATIONS,China,China,Mobile Telecommunications,302.6,74.18605367,33525.8,0.326748185, 0.9 ,7690.8,6.235929283, 22.9 ,1832.2,51.1,5.5,243790.0,-1.0,15797.8,4.3,,,,,,,
468,MONTAGE RESOURCES,US,US,Oil & Gas Producers,302.3,41.82664009,564.8,23.15775175, 53.5 ,311.9,26.65649595, 55.2 ,37.4,-55.7,6.6,236.0,48.4,94.7,,,,,,,,
469,ROPER TECHNOLOGIES,US,US,Electronic & Electrical Equipment,301.9,7.039141237,4777.3,3.382647557, 6.3 ,46.9,7.331975644, 1.0 ,1333.8,7.3,27.9,16460.0,5.4,33953.8,23.7,,,,,,,
470,RECKITT BENCKISER,UK,Row,Household Goods & Home Construction,300.2,15.24663699,15004.3,1.976661114, 2.0 ,357.4,-10.52631597, 2.4 ,-2282.3,-163.9,-15.2,42400.0,0.0,53015.5,-2.1,,,,,,,
471,TEMENOS,Switzerland,RoW,Software & Computer Services,297.6,18.51094387,865.2,15.59223227, 34.4 ,8.9,20.27694209, 1.0 ,209.6,7.6,24.2,7854.0,36.7,11065.8,-3.2,,,,,,,
472,MITSUI CHEMICALS,Japan,Japan,Chemicals,296.7,1.597943878,10922.9,-9.705383129, 2.7 ,586.5,35.16572365, 5.4 ,563.9,-24.8,5.2,17979.0,1.3,3790.0,-21.0,,,,,,,
473,S.F. HOLDING,China,China,Industrial Transportation,295.7,15.76878786,14237.8,23.30683171, 2.1 ,818.1,-45.44983926, 5.7 ,874.9,36.9,6.1,114813.0,-15.1,8606.5,40.1,,,,,,,
474,TERADATA,US,US,Software & Computer Services,295.5,2.469135802,1690.4,-12.24584104, 17.5 ,48.1,-64.70588235, 2.8 ,8.9,-76.7,0.5,8535.0,-15.9,3135.4,-28.7,,,,,,,
475,ELBIT SYSTEMS,Israel,RoW,Aerospace & Defence,295.3,15.45317254,4013.2,22.38834819, 7.4 ,122.5,34.50894937, 3.1 ,286.3,9.8,7.1,16575.0,2.6,6202.6,21.1,,,,,,,
476,CITIC PACIFIC SPECIAL STEEL,China,China,Industrial Metals & Mining,294.7,352.2754749,7737.4,1.135944054, 3.8 ,311.7,90.95694418, 4.0 ,959.0,27.0,12.4,22189.0,493.9,827.3,48.2,,,,,,,
477,KOITO MANUFACTURING,Japan,Japan,Automobiles & Parts,294.7,6.163296591,6533.6,-3.065511098, 4.5 ,447.0,1.887283501, 6.8 ,672.3,-18.8,10.3,24769.0,0.7,6545.1,-27.4,,,,,,,
478,HARRIS,US,US,Technology Hardware & Equipment,294.6,6.430868167,8245.5,36.20055874, 3.6 ,154.0,7.453416149, 1.9 ,543.0,-44.1,6.6,50000.0,174.7,41885.8,146.4,,,,,,,
479,AMS,Austria,EU,Technology Hardware & Equipment,293.7,6.233430864,1885.3,32.17815812, 15.6 ,181.6,-56.02298622, 9.6 ,329.5,2349.7,17.5,8609.0,-12.9,3075.9,-48.4,,,,,,,
480,KOBE STEEL,Japan,Japan,Industrial Metals & Mining,292.8,4.044064202,15253.3,-5.174481675, 1.9 ,2001.8,85.25850092, 13.1 ,-327.3,-198.8,-2.1,40831.0,3.8,1646.7,-40.4,,,,,,,
481,DEUTSCHE BAHN,Germany,EU,Travel & Leisure,292.0,-8.176100629,44430.0,0.828321797, 0.7 ,11661.0,3.727094823, 26.2 ,,,,323944.0,1.7,,,,,,,,,
482,NORTONLIFELOCK,US,US,Software & Computer Services,292.0,-64.07447974,2216.5,1.384364821, 13.2 ,79.2,-57.00483092, 3.6 ,552.8,63.9,24.9,3600.0,-69.7,12790.8,14.7,,,,,,,
483,PACCAR,US,US,Industrial Engineering,290.7,6.697157987,22787.7,8.954830033, 1.3 ,1754.3,0.947600295, 7.7 ,2853.8,11.4,12.5,27000.0,-3.6,20213.6,-5.3,,,,,,,
484,EAST JAPAN RAILWAY,Japan,Japan,Travel & Leisure,290.6,71.6488391,24037.4,-1.845543187, 1.2 ,5742.2,8.454217557, 23.9 ,3044.9,-22.7,12.7,71812.0,-0.8,31184.7,-0.4,,,,,,,
485,AU OPTRONICS,Taiwan,RoW,Electronic & Electrical Equipment,290.0,2.751940397,7947.5,-12.62625259, 3.6 ,873.6,-15.02324271, 11.0 ,-482.8,-360.5,-6.1,,,2373.5,-38.5,,,,,,,
486,TERADYNE,US,US,Technology Hardware & Equipment,287.4,7.070861021,2042.9,9.242327441, 14.1 ,119.9,17.71566495, 5.9 ,482.4,10.8,23.6,5400.0,10.2,8013.2,17.2,,,,,,,
487,ING GROEP,Netherlands,EU,Banks,285.0,-0.34965035,18156.0,-0.786885246, 1.6 ,355.0,24.12587413, 2.0 ,6835.0,0.0,37.6,56000.0,7.2,33887.7,-25.5,,,,,,,
488,JOHNSON CONTROLS,Ireland,EU,General Industrials,284.0,-16.05263158,25786.9,-7.742038217, 1.1 ,521.6,-43.10679612, 2.0 ,5703.2,91.7,22.1,104000.0,-14.8,30237.4,-2.8,,,,,,,
489,NAVISTAR INTERNATIONAL,US,US,Industrial Engineering,284.0,7.407407407,10015.1,9.765853659, 2.8 ,254.6,-17.10144928, 2.5 ,519.0,-26.6,5.2,12300.0,-6.1,2031.1,-47.0,,,,,,,
490,INSPUR ELECTRONIC INFORMATION INDUSTRY,China,China,Software & Computer Services,283.9,18.30490635,6536.7,9.673845422, 4.3 ,55.5,4.000297339, 0.8 ,222.2,6.3,3.4,5469.0,17.7,4188.4,-2.0,,,,,,,
491,BAE SYSTEMS,UK,Row,Aerospace & Defence,283.8,8.968610131,21380.5,8.822305454, 1.3 ,420.5,0.558659042, 2.0 ,2207.6,19.1,10.3,79000.0,1.3,20417.2,-9.7,,,,,,,
492,INVENTEC,Taiwan,RoW,Technology Hardware & Equipment,281.6,8.142623967,14811.9,-1.170130598, 1.9 ,112.9,99.24203253, 0.8 ,180.5,-16.8,1.2,,,2280.6,-22.0,,,,,,,
493,TEIJIN,Japan,Japan,Chemicals,281.3,-5.32645109,6964.5,-3.921160408, 4.0 ,540.9,19.24854755, 7.8 ,368.5,-16.4,5.3,20075.0,-2.9,3084.3,-13.2,,,,,,,
494,VISTEON,US,US,Automobiles & Parts,281.3,7.482993197,2621.5,-1.306970509, 10.7 ,126.4,11.81102362, 4.8 ,100.6,-51.1,3.8,11000.0,10.0,1716.2,-40.5,,,,,,,
495,FUJI ELECTRIC,Japan,Japan,Electronic & Electrical Equipment,281.1,2.340431814,7463.5,2.402370141, 3.8 ,130.0,29.74997931, 1.7 ,471.0,3.2,6.3,27416.0,1.5,5450.1,47.7,,,,,,,
496,IBERDROLA,Spain,EU,Electricity,280.4,5.195331405,36437.9,3.883110764, 0.8 ,5169.3,-1.295284402, 14.2 ,6249.6,9.3,17.2,34306.0,19.3,59498.1,44.8,,,,,,,
497,RHEINMETALL,Germany,EU,Automobiles & Parts,279.0,15.76763485,6255.0,1.740403383, 4.5 ,288.0,3.971119134, 4.6 ,493.0,7.4,7.9,23780.0,3.8,4625.9,13.0,,,,,,,
498,SKF,Sweden,EU,Industrial Engineering,278.3,6.094890538,8233.4,0.350005251, 3.4 ,331.3,30.7517949, 4.0 ,907.5,-12.9,11.0,43360.0,-2.4,6405.9,-9.6,,,,,,,
499,SHANXI TAIGANG STAINLESS STEEL,China,China,Industrial Metals & Mining,277.0,2.606294983,8878.5,-3.427434096, 3.1 ,162.3,112.2929055, 1.8 ,472.2,-46.1,5.3,18985.0,-2.5,2721.3,,,,,,,,
500,XEROX HOLDINGS,US,US,Support Services,276.8,-4.307692308,8070.1,-6.168495136, 3.4 ,57.9,-27.77777778, 0.7 ,950.7,19.3,11.8,27000.0,-16.7,5796.6,,,,,,,,
501,NITTO DENKO,Japan,Japan,Chemicals,275.4,5.548608795,6044.9,-8.118711215, 4.6 ,487.8,0.283423932, 8.1 ,568.9,-24.8,9.4,25793.0,-0.8,6405.5,-47.6,,,,,,,
502,DAI NIPPON PRINTING,Japan,Japan,Media,274.1,-0.541644498,11436.1,0.027755875, 2.4 ,325.7,6.26430375, 2.8 ,255.2,-5.8,2.2,38181.0,0.3,6080.9,-7.8,,,,,,,
503,MASTERCARD,US,US,Financial Services,272.4,75.86206897,15088.1,13.9725659, 1.8 ,375.6,27.87878788, 2.5 ,8662.1,35.1,57.4,18600.0,25.7,251242.0,27.7,,,,,,,
504,ROHM,Japan,Japan,Technology Hardware & Equipment,272.3,-15.65010861,2960.3,-9.04887101, 9.2 ,341.6,-22.83455862, 11.5 ,237.1,-46.7,8.0,22191.0,-3.1,6801.8,-25.2,,,,,,,
505,SINOPEC ENGINEERING,China,China,"Oil Equipment, Services & Distribution",272.1,27.47879735,6658.1,11.1487363, 4.1 ,28.9,-0.998771212, 0.4 ,254.4,-11.2,3.8,17450.0,-3.2,855.0,-37.4,,,,,,,
506,CGN POWER,China,China,Electricity,272.0,30.79763079,7630.0,19.99197494, 3.6 ,1994.3,-5.876597436, 26.1 ,2925.9,16.0,38.3,18383.0,-1.5,2641.6,11.3,,,,,,,
507,PHILIPS LIGHTING,Netherlands,EU,Household Goods & Home Construction,272.0,-6.206896552,6247.0,-1.745832023, 4.4 ,58.0,1.754385965, 0.9 ,391.0,-3.5,6.3,32005.0,9.5,3415.2,2.1,,,,,,,
508,SUNNY OPTICAL TECHNOLOGY,China,China,Electronic & Electrical Equipment,271.3,65.63054957,4822.0,45.95449646, 5.6 ,352.9,29.80167724, 7.3 ,609.3,51.6,12.6,20180.0,22.0,13629.3,9.0,,,,,,,
509,ZYNGA,US,US,Software & Computer Services,270.9,12.60495781,1176.5,45.6842312, 23.0 ,21.0,106.0946969, 1.8 ,-235.5,-3505.4,-20.0,1883.0,6.0,4786.1,50.3,,,,,,,
510,SYNAPTICS,US,US,Technology Hardware & Equipment,269.3,-11.31632954,1187.4,-9.3941041, 22.7 ,14.5,-31.22362943, 1.2 ,102.9,731.7,8.7,1387.0,-25.5,938.1,-38.3,,,,,,,
511,CHONGQING SOKON INDUSTRY GROUP,China,China,Automobiles & Parts,269.3,36.10748822,2158.9,-10.82067165, 12.5 ,344.2,4.550070518, 15.9 ,-12.2,-111.6,-0.6,14317.0,-2.7,1594.6,309.0,,,,,,,
512,CHINA TELECOM,China,China,Technology Hardware & Equipment,268.2,56.97240904,47869.1,-0.368579037, 0.6 ,10555.6,-1.171348481, 22.1 ,3703.6,1.2,7.7,281215.0,0.2,5568.2,-4.9,,,,,,,
513,ARCELORMITTAL,Luxembourg,EU,Industrial Metals & Mining,267.9,3.793103448,62858.3,-7.125853248, 0.4 ,3592.7,18.35777126, 5.7 ,-558.1,-109.6,-0.9,119000.0,-43.1,13378.8,-49.5,,,,,,,
514,FITBIT,US,US,Health Care Equipment & Services,267.4,-9.577956034,1277.2,-5.105546806, 20.9 ,32.5,-30.91717101, 2.5 ,-285.5,69.4,-22.4,1684.0,-0.6,35.8,-96.9,,,,,,,
515,EQUINOR,Norway,RoW,Oil & Gas Producers,267.0,-4.761904762,57287.7,-19.14238689, 0.5 ,9083.1,-10.23137151, 15.9 ,8276.7,-53.8,14.4,21400.0,3.4,52736.5,-27.6,,,,,,,
516,SICHUAN CHANGHONG ELECTRIC,China,China,Household Goods & Home Construction,266.8,8.386049585,10988.2,6.394531284, 2.4 ,193.8,6.533120886, 1.8 ,158.0,-14.3,1.4,49505.0,-10.2,1593.1,-0.4,,,,,,,
517,JAZZ PHARMACEUTICALS,Ireland,EU,Pharmaceuticals & Biotechnology,266.8,39.00916451,1924.3,14.32311857, 13.9 ,35.7,97.0299447, 1.9 ,473.9,-19.1,24.6,1620.0,19.1,6459.0,-29.7,,,,,,,
518,NARI TECHNOLOGY,China,China,Software & Computer Services,266.7,16.19899446,4094.0,13.98348561, 6.5 ,373.2,70.89646955, 9.1 ,688.6,11.3,16.8,8211.0,16.1,6468.7,43.2,,,,,,,
519,COVESTRO,Germany,EU,Chemicals,266.0,-3.623188406,12412.0,-15.07936508, 2.1 ,910.0,28.71287129, 7.3 ,856.0,-66.2,6.9,17201.0,2.6,7559.7,-49.1,,,,,,,
520,ANSYS,US,US,Software & Computer Services,265.5,27.54809618,1349.4,17.18072166, 19.7 ,40.0,106.5067525, 3.0 ,458.5,8.1,34.0,4100.0,20.6,15463.6,10.8,,,,,,,
521,FMC,US,US,Chemicals,265.4,2.264150948,4103.4,7.572398679, 6.5 ,83.6,-40.03831453, 2.0 ,856.0,-5.9,20.9,6400.0,-12.3,10023.4,-2.1,,,,,,,
522,ASTON MARTIN LAGONDA GLOBAL HOLDINGS,UK,Row,Automobiles & Parts,264.0,5.706267633,1164.9,-9.046967599, 22.7 ,96.0,-19.33267898, 8.2 ,-30.6,-134.9,-2.6,2565.0,13.3,1279.9,,,,,,,,
523,58.COM,China,China,Software & Computer Services,262.7,18.94412693,1984.5,18.56250834, 13.2 ,14.9,-36.4042706, 0.7 ,363.4,19.5,18.3,21743.0,-5.1,4996.9,-27.4,,,,,,,
524,BURELLE,France,EU,General Industrials,261.6,27.27644234,8498.9,12.45300674, 3.1 ,339.7,-22.21115469, 4.0 ,491.0,-33.2,5.8,27308.0,1.4,1325.2,-45.8,,,,,,,
525,FIREEYE,US,US,Software & Computer Services,261.6,6.211638354,791.5,7.004272179, 33.0 ,40.6,-10.28112777, 5.1 ,-177.8,9.5,-22.5,3400.0,6.3,2567.3,-10.9,,,,,,,
526,SQUARE ENIX,UK,Row,Software & Computer Services,261.1,67.06631648,336.1,63.04830652, 77.7 ,1.4,-19.91871192, 0.4 ,32.4,-189.8,9.6,269.0,18.0,,,,,,,,,
527,POLARIS,US,US,Industrial Engineering,260.8,12.80527717,6037.5,11.58136659, 4.3 ,223.8,11.51658687, 3.7 ,358.6,0.7,5.9,14000.0,16.7,4462.6,-25.7,,,,,,,
528,SMITH & NEPHEW,UK,Row,Health Care Equipment & Services,259.9,18.69918699,4573.6,4.771615008, 5.7 ,363.2,17.57925072, 7.9 ,739.7,-5.8,16.2,18030.0,8.1,20073.2,44.8,,,,,,,
529,ANHEUSER-BUSCH INBEV,Belgium,EU,Beverages,259.0,2.105263158,46580.9,-1.342357799, 0.6 ,4320.8,4.409550441, 9.3 ,14230.0,-2.4,30.5,171915.0,-0.5,145957.5,6.9,,,,,,,
530,DRAGERWERK,Germany,EU,Health Care Equipment & Services,258.9,4.698255292,2780.8,7.160434835, 9.3 ,58.5,2.458499685, 2.1 ,84.8,29.4,3.0,14845.0,3.1,320.6,-38.7,,,,,,,
531,SHISEIDO,Japan,Japan,Personal Goods,258.6,8.812221187,9230.7,3.354143355, 2.8 ,752.1,14.40021844, 8.1 ,928.6,5.1,10.1,40000.0,3.5,28355.7,11.1,,,,,,,
532,TAKE-TWO INTERACTIVE SOFTWARE,US,US,Software & Computer Services,258.3,29.71564458,2749.7,15.76139055, 9.4 ,47.5,-20.28550585, 1.7 ,378.6,110.9,13.8,5800.0,18.5,13295.5,-1.8,,,,,,,
533,SCIENTIFIC GAMES,US,US,Travel & Leisure,257.3,-7.014157014,3026.5,1.094196004, 8.5 ,253.7,-27.07267144, 8.4 ,510.9,10.6,16.9,9800.0,1.0,1532.2,-37.9,,,,,,,
534,SAGE,UK,Row,Software & Computer Services,257.0,14.58333369,2261.3,4.875406275, 11.4 ,31.5,35.00000021, 1.4 ,413.5,-17.3,18.3,12755.0,-6.6,8907.4,18.1,,,,,,,
535,MEIJI,Japan,Japan,Food Producers,256.5,7.758207382,10219.0,-0.133452384, 2.5 ,556.5,1.443952054, 5.4 ,818.4,16.5,8.0,17571.0,-0.2,9192.0,0.0,,,,,,,
536,INFINERA,US,US,Technology Hardware & Equipment,256.3,17.87746338,1156.2,37.68220419, 22.2 ,26.9,-19.87159109, 2.3 ,-201.9,41.7,-17.5,3261.0,-15.9,851.2,-30.2,,,,,,,
537,CSPC PHARMACEUTICAL,China,China,Pharmaceuticals & Biotechnology,255.6,40.89230609,2816.0,24.76020711, 9.1 ,238.6,12.39609655, 8.5 ,571.6,24.1,20.3,17300.0,19.5,11178.2,-20.9,,,,,,,
538,EXELIXIS,US,US,Pharmaceuticals & Biotechnology,255.5,101.0416371,861.5,13.34569337, 29.7 ,11.4,-61.45598789, 1.3 ,328.9,-15.8,38.2,617.0,27.5,5352.2,7.4,,,,,,,
539,NOVATEK MICROELECTRONICS,Taiwan,RoW,Electronic & Electrical Equipment,255.3,15.26769113,1903.3,17.39518374, 13.4 ,43.8,86.37982548, 2.3 ,292.9,29.6,15.4,2653.0,5.7,3346.5,23.6,,,,,,,
540,NEXTEER,US,US,Automobiles & Parts,255.2,5.152820054,3182.9,-8.601696771, 8.0 ,178.6,26.72103427, 5.6 ,241.4,-33.7,7.6,12800.0,-1.5,1745.7,-53.9,,,,,,,
541,IFLYTEK,China,China,Software & Computer Services,255.1,21.62808539,1271.4,27.95315852, 20.1 ,240.4,3.469926094, 18.9 ,140.9,78.5,11.1,10447.0,-4.8,7728.6,6.8,,,,,,,
542,AMICUS THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,254.9,5.712767089,162.2,99.72272603, 157.1 ,17.8,217.2479656, 11.0 ,-270.6,-7.5,-166.8,584.0,15.0,2241.6,-1.2,,,,,,,
543,KINGSOFT,China,China,Software & Computer Services,253.6,12.55694749,1047.0,39.14667782, 24.2 ,174.9,-1.367572931, 16.7 ,-17.1,-45.4,-1.6,7589.0,22.7,2269.1,1.3,,,,,,,
544,KIMBERLY-CLARK,US,US,Personal Goods,252.8,-10.41009464,16423.4,-0.194741967, 1.5 ,1076.2,37.85632839, 6.6 ,2948.2,5.5,18.0,40000.0,-2.4,43226.9,20.9,,,,,,,
545,CLOVIS ONCOLOGY,US,US,Pharmaceuticals & Biotechnology,252.0,22.39017596,127.3,49.92032456, 198.0 ,2.9,-64.40165401, 2.3 ,-335.4,12.9,-263.4,484.0,3.4,272.9,-83.7,,,,,,,
546,ALLIED IRISH BANKS,Ireland,EU,Banks,252.0,16.12903226,2676.0,-7.436873054, 9.4 ,69.0,6.153846154, 2.6 ,500.0,-60.1,18.7,9520.0,-3.2,,,,,,,,,
547,COUNTRY GARDEN HOLDINGS,China,China,Real Estate Investment & Services,251.4,61.19281007,61905.5,28.18119706, 0.4 ,343.1,-16.62538707, 0.6 ,11714.2,24.5,18.9,101784.0,-22.5,24141.6,-16.6,,,,,,,
548,COLGATE-PALMOLIVE,US,US,Personal Goods,250.1,1.444043321,13969.2,0.958569223, 1.8 ,298.2,-23.16513761, 2.1 ,3258.9,-4.6,23.3,34300.0,-0.6,56632.7,10.4,,,,,,,
549,GRUENENTHAL PHARMA,Germany,EU,Pharmaceuticals & Biotechnology,249.0,-2.355699672,1394.4,8.899765087, 17.9 ,,,,44.8,-59.6,3.2,4834.0,-3.5,,,,,,,,,
550,ARKEMA,France,EU,Chemicals,249.0,5.063291139,8738.0,-0.884754991, 2.8 ,575.0,6.481481481, 6.6 ,854.0,-10.5,9.8,20309.0,2.3,6111.5,-26.0,,,,,,,
551,NATIONAL INSTRUMENTS,US,US,Electronic & Electrical Equipment,246.8,1.525222187,1204.6,-0.435351375, 20.5 ,54.2,75.58786851, 4.5 ,189.8,13.7,15.8,7300.0,0.5,4930.7,-12.3,,,,,,,
552,FORTINET,US,US,Software & Computer Services,246.7,13.33333336,1919.4,19.70908283, 12.9 ,82.1,73.96226415, 4.3 ,303.0,47.4,15.8,7082.0,21.2,12051.9,-4.4,,,,,,,
553,NUANCE COMMUNICATIONS,US,US,Software & Computer Services,245.6,-9.641265252,1622.8,-1.042502357, 15.1 ,39.3,-9.540382368, 2.4 ,197.7,-600.6,12.2,8100.0,-22.1,4274.2,2.6,,,,,,,
554,EMBRAER,Brazil,RoW,Aerospace & Defence,244.8,-8.57712766,4815.6,16.45399812, 5.1 ,249.5,99.91594828, 5.2 ,-3.5,-110.7,-0.1,18734.0,1.2,2935.7,-8.4,,,,,,,
555,DIALOG SEMICONDUCTOR,UK,Row,Technology Hardware & Equipment,243.9,-13.52206112,1394.2,8.605348477, 17.5 ,10.8,-53.60871963, 0.8 ,338.1,90.2,24.3,2036.0,-3.0,3105.5,106.4,,,,,,,
556,AMDOCS,UK,Row,Software & Computer Services,243.8,-0.968494018,3637.8,2.813499021, 6.7 ,114.0,-44.58653837, 3.1 ,510.4,33.9,14.0,24516.0,0.6,8043.6,-3.8,,,,,,,
557,CLAAS,Germany,EU,Industrial Engineering,243.6,4.387472201,3898.0,0.225831782, 6.2 ,107.7,5.024282733, 2.8 ,164.0,-30.0,4.2,10713.0,2.6,,,,,,,,,
558,ULTRAGENYX PHARMACEUTICAL,US,US,Pharmaceuticals & Biotechnology,243.6,14.02345797,92.3,101.4059635, 263.9 ,22.1,509.2248346, 23.9 ,-377.6,14.2,-409.0,740.0,21.3,2797.3,-26.1,,,,,,,
559,DEXCOM,US,US,Health Care Equipment & Services,243.5,36.95543325,1313.9,43.07871268, 18.5 ,160.2,168.2563361, 12.2 ,126.7,-176.4,9.6,3900.0,39.3,13929.5,22.7,,,,,,,
560,L'AIR LIQUIDE,France,EU,Chemicals,241.3,8.060904613,21920.1,4.326284678, 1.1 ,2636.4,17.21500978, 12.0 ,3604.8,9.6,16.4,67200.0,1.8,54313.6,16.9,,,,,,,
561,VISMA,Norway,RoW,Software & Computer Services,241.2,32.92425508,1523.6,31.94632544, 15.8 ,10.0,20.6894423, 0.7 ,167.0,15.7,11.0,11175.0,17.2,,,,,,,,,
562,WINBOND ELECTRONICS,Taiwan,RoW,Technology Hardware & Equipment,240.4,5.647247631,1442.0,-4.725285699, 16.7 ,397.1,-20.66903905, 27.5 ,38.4,-83.7,2.7,4899.0,3.4,2006.4,-1.2,,,,,,,
563,ELANCO ANIMAL HEALTH,US,US,Pharmaceuticals & Biotechnology,240.4,9.529602368,2733.7,0.136950567, 8.8 ,125.0,4.386617536, 4.6 ,300.3,45.5,11.0,6080.0,5.2,8470.5,,,,,,,,
564,AKZO NOBEL,Netherlands,EU,Chemicals,240.0,-4,9276.0,-28.90319614, 2.6 ,179.0,11.875, 1.9 ,841.0,-80.9,9.1,33800.0,-2.0,18554.8,-8.8,,,,,,,
565,KPN,Netherlands,EU,Fixed Line Telecommunications,240.0,548.6486486,5488.0,-2.261798753, 4.4 ,859.0,5.140758874, 15.7 ,1024.0,23.7,18.7,11248.0,-11.2,12104.2,30.8,,,,,,,
566,SUN PHARMACEUTICAL INDUSTRIES,India,RoW,Pharmaceuticals & Biotechnology,239.9,0.7823859,4037.2,12.68512334, 5.9 ,141.3,-34.49533841, 3.5 ,646.5,5.9,16.0,17759.0,1.5,13504.1,-30.9,,,,,,,
567,KANEKA,Japan,Japan,Chemicals,239.7,1.470841867,4906.9,-3.144548775, 4.9 ,350.6,-2.296133061, 7.1 ,212.2,-27.8,4.3,11013.0,4.2,1766.8,-39.0,,,,,,,
568,NCSOFT,South Korea,RoW,Software & Computer Services,238.1,12.73814272,1307.9,-0.812195161, 18.2 ,41.8,73.03882055, 3.2 ,368.3,-22.1,28.2,,,9064.0,38.7,,,,,,,
569,KION,Germany,EU,Industrial Engineering,237.2,6.99142986,8806.5,10.14045049, 2.7 ,287.4,11.17988395, 3.3 ,719.0,11.1,8.2,34604.0,4.5,5077.9,-27.2,,,,,,,
570,INTERNATIONAL GAME TECHNOLOGY,UK,Row,Travel & Leisure,237.0,1.12504221,4260.1,-0.940749161, 5.6 ,393.5,-17.06550205, 9.2 ,584.0,10.7,13.7,11922.0,-1.5,2177.7,-43.0,,,,,,,
571,SWATCH,Switzerland,RoW,Personal Goods,236.3,10.77586241,7578.5,-2.737463116, 3.1 ,366.8,-8.695652206, 4.8 ,940.5,-11.4,12.4,36089.0,-2.8,7132.4,-39.2,,,,,,,
572,BEIERSDORF,Germany,EU,Personal Goods,236.0,11.84834123,7653.0,5.806719204, 3.1 ,320.0,-10.61452514, 4.2 ,1070.0,-1.3,14.0,20654.0,3.0,28803.6,14.2,,,,,,,
573,ROKU,US,US,Media,236.0,54.41080552,1004.9,52.04200369, 23.5 ,68.7,321.1273107, 6.8 ,-54.4,360.0,-5.4,1650.0,48.5,11509.2,217.7,,,,,,,
574,BLUE PRINT MEDICINES,US,US,Pharmaceuticals & Biotechnology,235.8,33.06780528,59.2,49.39466962, 398.3 ,12.5,10.53878003, 21.1 ,-321.6,46.3,-543.2,221.0,1.8,3352.0,11.9,,,,,,,
575,MINEBEA,Japan,Japan,Industrial Engineering,235.6,13.48760461,7981.7,10.59337217, 3.0 ,385.8,-9.514425793, 4.8 ,470.4,-20.1,5.9,82617.0,6.0,5717.2,-21.3,,,,,,,
576,SKYWORTH GROUP,China,China,Electronic & Electrical Equipment,234.8,9.182464741,4749.1,23.46648119, 4.9 ,129.1,0.396431792, 2.7 ,217.0,47.2,4.6,36000.0,-2.7,633.3,-28.7,,,,,,,
577,CLOUDERA,US,US,Software & Computer Services,234.6,51.63680686,707.0,65.47679838, 33.2 ,6.4,-28.58417864, 0.9 ,-302.4,98.7,-42.8,2723.0,-7.6,1777.4,-12.0,,,,,,,
578,HASBRO,US,US,Leisure Goods,233.4,6.496049595,4201.7,3.069691412, 5.6 ,119.0,-4.835287354, 2.8 ,580.4,97.0,13.8,5600.0,-3.4,12410.0,10.6,,,,,,,
579,PIRELLI,Italy,EU,Automobiles & Parts,232.5,6.164383562,5323.1,2.475145265, 4.4 ,369.7,-19.29590563, 6.9 ,760.3,1.7,14.3,31575.0,0.3,4725.0,-31.9,,,,,,,
580,EYGS,UK,Row,Support Services,232.3,58.18181818,1627.0,-53.55885223, 14.3 ,,,,31.2,-4.9,1.9,135.0,-6.9,,,,,,,,,
581,NOVOZYMES,Denmark,EU,Pharmaceuticals & Biotechnology,230.8,6.392132808,1916.6,-0.111188314, 12.0 ,114.9,-35.28528549, 6.0 ,538.6,-0.8,28.1,6125.0,-4.7,9152.1,-19.8,,,,,,,
582,BLACKBERRY,Canada,RoW,Technology Hardware & Equipment,230.6,19.35483871,925.8,15.04424779, 24.9 ,10.7,-29.41176471, 1.2 ,-132.6,-348.3,-14.3,3668.0,-7.0,3415.8,-32.9,,,,,,,
583,ACCIONA,Spain,EU,Construction & Materials,230.4,2.218278616,7190.6,-4.247137204, 3.2 ,1280.5,133.0753521, 17.8 ,760.8,25.6,10.6,39699.0,3.0,5354.0,23.3,,,,,,,
584,GOERTEK,China,China,Electronic & Electrical Equipment,230.2,35.41501818,4297.5,45.21402674, 5.4 ,404.8,-25.05795542, 9.4 ,279.8,48.8,6.5,59611.0,22.5,4637.1,50.4,,,,,,,
585,NANJING IRON & STEEL,China,China,Industrial Metals & Mining,230.1,18.15867771,6054.5,10.20160535, 3.8 ,160.2,99.70198733, 2.6 ,518.0,-36.5,8.6,10161.0,-3.9,1838.7,-14.8,,,,,,,
