NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Hybrid Energy Storage Solutions Ltd.,"A technological solution provider, pioneer in creating hybrid energy storage solutions (HESS), optimized in economic terms",Europe,Spain,Seville,37.4320499,-5.85777,2.98,energy efficiency;sustainability;sustainable development goals;core sustainable impact;sustainable cities and communities (#11);affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,Elewit;Capital Energy Quantum;RIC Energy,accelerator;corporate_venture_fund;corporate,Lisbon
Green Hydrogen Systems,GreenHydrogen believes that electrolysers have a great potential to become a core technology in green and renewable energy,Europe,Denmark,Kolding,55.507075,9.44364,27.27,hydrogen;affordable and clean energy (#7);sustainable development goals;industry innovation and infrastructure (#9);sustainable cities and communities (#11);climate action (#13);core sustainable impact;nordic impact 2021,energy,clean energy,late growth stage,Nordic Alpha Partners;A.P. Moller Holding;Norlys Holding;VF Venture (Vækstfonden);Nordea Asset Management;ATP,venture_capital;advisor;company;venture_capital;investment fund;investment fund,Odense
H2 Green Steel,Accelerating the decarbonisation of steel production,Europe,Sweden,Stockholm,59.3293235,18.0685808,95.45,sustainable development goals;steel;hydrogen,energy,,early growth stage,Vargas Holding;EIT InnoEnergy;Exor;FAM AB;Kingspan Group;Mercedes-Benz;Scania;SMS group;Cristina Stenbeck;Daniel Ek;Robert Maersk Uggla;Ane Maersk Uggla;Altor Equity Partners;Bilstein Group;IMAS Foundation;Stena Metall;Marcegaglia,"venture_capital;accelerator;corporate;corporate;corporate;corporate;corporate;corporate;angel;angel;user;user;private_equity,venture_capital;corporate;investment fund;corporate;corporate",Stockholm
Ioniqa,Develops and produces smart chemical materials,Europe,Netherlands,Eindhoven,51.4500803,5.4963826,24.27,recycling;circular economy;game development;waste reduction;waste management;chemistry;sustainable development goals;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;spinout,energy,clean energy,early growth stage,Chemelot Ventures;Nationaal Groenfonds;Netherlands Enterprise Agency (RVO);Martin Duits;Brightlands Venture Partners;Eindhoven University of Technology (TU/e),venture_capital;venture_capital;government;angel;venture_capital;university,Eindhoven
Green Eagle Solutions,Provides autonomous operations software for wind turbines,Europe,Spain,Madrid,40.4148114,-3.7036534,2.6,automated technology;sustainable development goals;wind energy;solar energy,energy,clean energy,early growth stage,EDP Starter;EDP Ventures;SET Ventures;Kibo Ventures,"accelerator;corporate_venture_fund,venture_capital;venture_capital;venture_capital",Madrid
Lightyear,The electric car that charges itself,Europe,Netherlands,Eindhoven,51.4737186,5.6237123,105.32,automotive;electric vehicle;sustainable development goals;solar energy;sustainable cities and communities (#11);affordable and clean energy (#7);climate action (#13);core sustainable impact,energy,clean energy,late growth stage,European Innovation Council;BOM Brabant Ventures;Zero Point Holding;Rob van Gansewinkel;SHV Holdings,government;venture_capital;family_office;angel;corporate,Eindhoven
Carbios,"Creates a new generation of fully biodegradable plastics with a controlled lifespan, a process enabling infinite biorecycling of plastic waste",Europe,France,Clermont-Ferrand,45.850026,3.166847,7.4,recycling;waste reduction;polymer;chemical;chemical engineering;plastic;sustainable development goals;advanced materials;industrial technology;innovative material tech;polymers and polymer alternatives,energy,waste solution,early growth stage,Truffle Capital;Investments for the Future (PIA);Nestlé;PepsiCo;Suntory Holdings,"private_equity,venture_capital;venture_capital;corporate;corporate;corporate",Lyon
TWAICE,Supports enterprises across industries with digital twin-based predictive battery analytics software,Europe,Germany,Munich,48.1860015,11.6041422,37.84,battery;digital twin;lithium ion batteries;predictive analytics;bms;energy tech;industrial technology;spinout;manufacturing tech,energy,energy efficiency,late growth stage,UVC Partners;Speedinvest;Cherry Ventures;MH2 Capital;Creandum;Technical University Munich (TUM);Energize Ventures,venture_capital;venture_capital;venture_capital;family_office;venture_capital;university;venture_capital,Munich
Black Bear Carbon,Harvesting and upcycling carbon black from end-of-life tires,Europe,Netherlands,Nederweert,51.2865631,5.7527014,23.5,circular economy;tires;sustainable development goals;core sustainable impact;sustainable cities and communities (#11);climate action (#13),energy,waste solution,early growth stage,ING Group;5square;Rubio Impact Ventures;Capricorn Partners;Particon;ScaleUpNation;Brightlands Venture Partners;EIT Raw Materials;Chemelot Ventures;Invest-NL;Siam cement group,corporate;venture_capital;venture_capital;venture_capital;corporate;accelerator;venture_capital;government;venture_capital;venture_capital;corporate,Eindhoven
Tado,The intelligent climate control that uses your smartphone,Europe,Germany,Munich,48.1685433,11.5370339,139.95,climate;smart home;smart building;techscale200;cooling tech;heating;sustainable development goals;core sustainable impact;app;alarm;messaging;chat;energy saving;navigation;geopositioning;risk management;climate action (#13);affordable and clean energy (#7),energy,energy efficiency,late growth stage,Target Partners;Shortcut Ventures;Siemens Venture Capital;Statkraft Ventures;BayBG;Inven Capital;Next47;Amazon;Total Carbon Neutrality Ventures;E.ON;Energy Innovation Capital;European Investment Bank;LMU Entrepreneurship Center;Future Energy Ventures;Noventic,"venture_capital;venture_capital;corporate_venture_fund;venture_capital;venture_capital;venture_capital;corporate_venture_fund,venture_capital;corporate;corporate_venture_fund;corporate;venture_capital;government & non-profit;accelerator;corporate_venture_fund,venture_capital;corporate",Munich
